,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Ticket_Num,Cabin_Num,Embarked_C,Embarked_Q,Embarked_S,Cabin_Alpha_A,Cabin_Alpha_B,Cabin_Alpha_C,Cabin_Alpha_D,Cabin_Alpha_E,Cabin_Alpha_F,Cabin_Alpha_G,Cabin_Alpha_N,Title_ Col,Title_ Dr,Title_ Master,Title_ Miss,Title_ Mr,Title_ Mrs,Title_ Ms,Title_ Rev,Survived
0,892,3,0,34.5,0,0,7.8292,330911,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,893,3,1,47.0,1,0,7.0,363272,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,894,2,0,62.0,0,0,9.6875,240276,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,895,3,0,27.0,0,0,8.6625,315154,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4,896,3,1,22.0,1,1,12.2875,3101298,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,897,3,0,14.0,0,0,9.225,7538,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,898,3,1,30.0,0,0,7.6292,330972,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,899,2,0,26.0,1,1,29.0,248738,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,900,3,1,18.0,0,0,7.2292,2657,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,901,3,0,21.0,2,0,24.15,48871,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,902,3,0,30.272590361445783,0,0,7.8958,349220,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,903,1,0,46.0,0,0,26.0,694,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12,904,1,1,23.0,1,0,82.2667,21228,45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,905,2,0,63.0,1,0,26.0,24065,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,906,1,1,47.0,1,0,61.175,5734,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
15,907,2,1,24.0,1,0,27.7208,2167,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
16,908,2,0,35.0,0,0,12.35,233734,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,909,3,0,21.0,0,0,7.225,2692,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,910,3,1,27.0,1,0,7.925,3101270,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
19,911,3,1,45.0,0,0,7.225,2696,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
20,912,1,0,55.0,1,0,59.4,17603,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,913,3,0,9.0,0,1,3.1708,17368,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
22,914,1,1,30.272590361445783,0,0,31.6833,17598,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
23,915,1,0,21.0,0,1,61.3792,17597,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,916,1,1,48.0,1,3,262.375,17608,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25,917,3,0,50.0,1,0,14.5,3337,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
26,918,1,1,22.0,0,1,61.9792,113509,36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,919,3,0,22.5,0,0,7.225,2698,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
28,920,1,0,41.0,0,0,30.5,113054,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,921,3,0,30.272590361445783,2,0,21.6792,2662,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
30,922,2,0,50.0,1,0,26.0,3085,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
31,923,2,0,24.0,2,0,31.5,31029,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
32,924,3,1,33.0,1,2,20.575,2315,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
33,925,3,1,30.272590361445783,1,2,23.45,6607,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
34,926,1,0,30.0,1,0,57.75,13236,78,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,927,3,0,18.5,0,0,7.2292,2682,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,928,3,1,30.272590361445783,0,0,8.05,342712,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
37,929,3,1,21.0,0,0,8.6625,315087,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
38,930,3,0,25.0,0,0,9.5,345768,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
39,931,3,0,30.272590361445783,0,0,56.4958,1601,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
40,932,3,0,39.0,0,1,13.4167,349256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
41,933,1,0,30.272590361445783,0,0,26.55,113778,34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,934,3,0,41.0,0,0,7.85,3101263,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
43,935,2,1,30.0,0,0,13.0,237249,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
44,936,1,1,45.0,1,0,52.5542,11753,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
45,937,3,0,25.0,0,0,7.925,3101291,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46,938,1,0,45.0,0,0,29.7,17594,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,939,3,0,30.272590361445783,0,0,7.75,370374,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48,940,1,1,60.0,0,0,76.2917,11813,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
49,941,3,1,36.0,0,2,15.9,37671,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
50,942,1,0,24.0,1,0,60.0,13695,31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
51,943,2,0,27.0,0,0,15.0333,2168,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52,944,2,1,20.0,2,1,23.0,29105,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
53,945,1,1,28.0,3,2,263.0,19950,23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,946,2,0,30.272590361445783,0,0,15.5792,2861,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55,947,3,0,10.0,4,1,29.125,382652,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
56,948,3,0,35.0,0,0,7.8958,349230,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
57,949,3,0,25.0,0,0,7.65,348122,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
